super,custom_name,auto_label,n_rows,n_distinct_items,top_members
3,,午后時光-重乳/冰紅茶-大(新/芽香綠金萱(l…(64款),145,64,重乳奶茶tp330 | 午后時光-重乳奶茶tp330 | 冰紅茶-大(新) | 油切蕎麥茶 | 芽香綠金萱(l) | 牧香穀物鮮奶茶(l) | 冰綠茶-小 | 白玉珍珠 / 無糖 / 微冰
7,,parking/停車費/parking…(5款),134,5,parking fee | parking fee | 停車費 | parking fee
5,,大1四季春珍波/韓式泡菜拉麵/黑蒜豚骨拉麵…(52款),129,52,皮蛋乾麵 | 大1四季春珍波椰 | 薯球(肯)(活動) | 黑蒜豚骨拉麵 | 韓式泡菜拉麵 | 叉燒飯 | 餛飩牛肉湯麵(小)
6,,配-經典大薯/涼拌豆干絲/四塊麥克雞塊…(72款),115,72,寶山黑糖麻糬手 | 四塊麥克雞塊 | 配-經典大薯 | 櫛瓜 | 涼拌豆干絲 | 紅油口水雞
14,,卡辣姆久平切洋/星-二配板巧克/起司蛋堡…(55款),108,55,星-二配板巧克力夾心土司 | 卡辣姆久平切洋芋片勁辣唐辛35元 | 金黃起司火腿蛋三明治 | 起司蛋堡 | 統一麵包快樂牛奶球
21,,嫩切雞肉堡6吋/12fit -/日香雞肉飯 -…(31款),108,31,嫩切雞肉堡6吋 | 12fit - 特餐_七味蒜香雞胸(b) | 日香雞肉飯 - 私房辣椒雞腿飯(b) | 照燒雞肉堡6吋
8,,16oz(冰)/美式冰咖啡(大/特選美式冰咖啡…(26款),97,26,a 美式黑咖啡-中冰 | 16oz(冰)特選美式咖啡 | 美式冰咖啡(大) | 特選美式冰咖啡(大)
4,,金塊香蒜-小單/d摩斯雞塊套加/超級大麥海洋珍…(23款),90,23,金塊香蒜-小單位 | d摩斯雞塊套加60 | 摩斯鱈魚堡 | 超級大麥海洋珍珠堡 | 極選厚菠蘿
2,,台灣香蕉重量分/桂格100%燕/台灣上等蕉(裸…(27款),87,27,韓國農心辛香菇杯麵 | 台灣香蕉重量分享包(2入) | 桂格100%燕麥(顆粒微甜)290ml | 台灣上等蕉(裸賣) | (區)現蒸地瓜25元
9,,(a)御料小館/御選肉鬆飯糰/粥天子-廣式皮…(12款),85,12,(a)御料小館香辣炸雞球 | 御選肉鬆飯糰 | 粥天子-廣式皮蛋瘦肉煲粥 | 林聰明-雞肉飯飯糰
1,,多喝水鹼性竹炭/(a)統一h2/味丹多喝水…(19款),75,19,多喝水鹼性竹炭 | (a)統一h2o純水pet2200 | 泰山淨之水 | fmc鹼性離子水800ml | 味丹多喝水
29,,原味波士頓/極致巧克力蛋糕/草莓…(21款),62,21,草莓 | 原味波士頓 | 酥脆雞塊 | 極致巧克力蛋糕
15,,紅茶/多多綠茶/奶茶…(5款),61,5,紅茶 | 多多綠茶 | 奶茶
23,,ab原味優酪乳/ab原味優酪乳/福樂自然零藍莓…(21款),60,21,福樂自然零藍莓優酪 | ab原味優酪乳206ml(瓶) | ab優酪乳原味
0,,桌球場/撞球場/健身房全票60…(3款),56,3,桌球場 | 桌球場
10,,餅乾1片/餅乾3片/糖心蛋(兩片)…(7款),54,7,餅乾1片 | 餅乾3片 | 糖心蛋(兩片)
22,,大冰美式/特大冰美式/中冰美式…(3款),49,3,大冰美式 | 大冰美式
11,,藝舍黑田桑小卡/加新入袋a4單/百樂g2 07…(31款),35,31,藝舍黑田桑小卡 | 百樂g2 07鋼珠筆藍
30,,母傳原湯清燉牛/燙青菜/經典香韻紅燒牛…(7款),32,7,母傳原湯清燉牛肉 | 燙青菜
33,,金萱雙q…(1款),28,1,金萱雙q
25,,a4黑白列印i/列印服務全錄黑/a4彩色160…(7款),21,7,a4黑白列印ibon
28,,清爽沙拉飯…(1款),19,1,清爽沙拉飯
34,,芽香綠金萱(l/柔香青金萱(l/芽香綠金萱…(4款),18,4,芽香綠金萱(l)
26,,烤雞(熟)/鮮蝦(熟)…(2款),17,2,烤雞(熟)
31,,三明治冰淇淋/起士核桃堡14/豆乳原味奶酪…(5款),16,5,三明治冰淇淋
32,,輕食咖啡廳/咖啡廳coff…(2款),16,2,輕食咖啡廳
19,,體適能-全票/minecra/桌球場…(5款),15,5,體適能-全票
12,,臨停/95無鉛汽油/票號20250…(6款),14,6,臨停
24,,配料…(1款),13,1,配料
16,,停車費/清潔維護費/停車場清潔維護…(3款),12,3,停車費
13,,撈派巴沙魚片(/凍豆腐(半)/自選小料…(12款),12,12,撈派巴沙魚片(半)
20,,老中醫天然仙楂/良澔仙楂梅16…(2款),11,2,老中醫天然仙楂70g
27,,便當…(1款),3,1,便當
18,,30元盤/40元盤…(2款),2,2,30元盤
17,,優惠單人套餐/299成人…(2款),2,2,優惠單人套餐
